"Tool #","Tool Group","Number","Cut Dia","Overall Length","LOC","(S)tub / (J)obber","ANSICatalogNumber","Approved Brand","Backside Capable","BodyDia","BottomCut","BottomRelief","CenterCut","Classification Marking","Classification Markings","Coating","CornerRad","Cost","Created At","Made Of","Custom Grind","Custom Ground Notes","Cutting Direction","Description","Diameter of Ball (DK)","Diameter Range","Diametral Knurl Value","Double Ended","SK Size","Face to Tip Value","FluteType/Chipbreaker","Full Profile","Grooving Insert Width","Quantity Verified","HelixAngle","Holder","Insert Corner Radius","InsertInscribedCirle","InsertReliefAngle","InsertShape","Insert Thickness","Insert Tip to Center Line of Shank","InsertTolerance","Insert Type","Inspection Certified","ISO Catalog Number","Lead Angle","Lead time","Length Below Holder - MIN OOH","Length Under Ball (ML)","Location","Max Back Angle","Max Offset Drill","Max Z Depth","Min Bore Diameter","Nomenclature","No. of Cutting Corners","No.ofFlutes","Pictures","Pitch","Pocket Geometry","Point Type","Totalin Shop","Recommended Pre-drill Size","Recommended Workpiece Material","Relieved Shank Diameter","Round Shank","Shaft Diameter (DS)","Shaft Material","Shank Diameter","Size Name","Sphere Material","Size of Square on Tap","Status","Tap class","Taper","Thread","Threaded Adapter Diameter (DG)","Threads Per Inch","Thread Type","Through Coolant","Tip Angle","Tip Diameter","Tip to 1st Full Thread","Drawer Location","Tool Material","TopCut","TopRelief","TPI Circular Pitch","Type Straight or Diagonal","Vendor","EDP#","RTA List"
"D-229","D","229","0.180","5.75","3.375","Jobber","","","false","0.18","","","true","","","TiN","0","21.82","5/6/2026; 02:12:24 PM","","","","Right Hand","#15 (.180) 135DEG DRILL","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","1000","","","","","","","2","table 2 items","","","","","","P, M, N, S, K","","true","","","0.180","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-2472",""
"B-230","B","230","0.1575","2.9528","0.9843","","","SGS","false","0.1575","","","true","","","Ti-NAMITE-X","0.07875","45.52","5/8/2026; 11:24:30 AM","","","","Right Hand","5/32 (.1575) BALL 4FL .984LOC S","","","","","","","Finishing","false","","","38","","","","","","","","","","false","","","","","","217","","","","","","","4","table 2 items","","","","3","","S, M, K, P","","true","","","0.1575","","","","","","","","","","","false","","","","","carbide","","","","","MSC1","61941704",""
"B-230","B","","","","","","","SGS","false","","","","true","","","Ti-NAMITE-X","","","5/8/2026; 11:24:30 AM","","","","Right Hand","5/32 (.1575) BALL 4FL .984LOC S","","","","","","","Finishing","false","","","","","","","","","","","","","false","","","","","","217","","","","","","","","table 2 items","","","","","","S, M, K, P","","true","","","","","","","","","","","","","","false","","","","","carbide","","","","","","70529",""
"R-231","R","231","0.138","2.375","0.875","","","Balax","false","0.194","","","false","","","UC","0","31.78","5/8/2026; 02:08:23 PM","","","","Right Hand","#6-32 STI  FORM TAP H2","","","","","","","Forming","false","","","","","","","","","","","","","false","","","","","","218","","","","","","","","table 2 items","#6-32","","Bottoming","3",".152","P, M, N","","true","","","0.194","","","","Active","H2","","#6-32","","32","Form","false","","","0.087","","HSS","","","","","MSC1","49720428",""
"R-231","R","","","","","","","","false","","","","false","","","UC","","","5/8/2026; 02:08:23 PM","","","","Right Hand","#6-32 STI  FORM TAP H2","","","","","","","Forming","false","","","","","","","","","","","","","false","","","","","","218","","","","","","","","table 2 items","#6-32","","Bottoming","",".152","P, M, N","","true","","","","","","","Active","H2","","#6-32","","32","Form","false","","","0.087","","HSS","","","","","","11402-010",""
"I-232","I","232","","6.299","3.346","","","PH Horn","false","","","","","","","","","454.00","5/11/2026; 01:49:01 PM","","","","","3.346 reach PH horn Milling arbor for saws","","","","","","","","false","","","","","","","","","","","","","false","","","","","","219","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","0.563","","","","","","","","JON1","M332.0016.03A","26"
"G-233","G","233","1.406",".1181","0.1181","","","Ph Horn","false","","","","","","","","0.008","96.30","5/11/2026; 01:57:08 PM","","","","","1.406Ø Mill Grooving insert 3mm thick(.1181)","","","","","","","","false","","","NA","",".008","","","","","","","","false","","","","","","220","","","","","","","6","table 2 items","","","","","","M,N","","","","","","","","","Active","","","","","","","false","NA","","","","CARB","","","","","JON1","636.0300.00","26"
"A-234","A","234","0.5","5.0","3.0","","","Kennametal","false","0.5","","","true","","","UC","0","","5/12/2026; 04:11:18 PM","","","","Right Hand","1/2 (.5) 3FL EM 3LOC P UC","","","","","","","Semi-Finishing","false","","","37","","","","","","","","","","false","","","","","","221","","","","","","","3","table 2 items","","","","","","P, M, K, N","","true","","","0.5","","","","Active","","","","","","","false","","","","","carbide","","","","","JON1","5051858",""
"A-234","A","","","","","","","","false","","","","true","","","UC","","242.29","5/12/2026; 04:11:18 PM","","","","Right Hand","1/2 (.5) 3FL EM 3LOC P UC","","","","","","","Semi-Finishing","false","","","","","","","","","","","","","false","","","","","","221","","","","","","","","table 2 items","","","","","","P, M, K, N","","true","","","","","","","Active","","","","","","","false","","","","","carbide","","","","","MSC1","71095855",""
"D-235","D","235","0.185","","","J","","","false","","","","","","","","","","5/13/2026; 12:04:57 PM","","","","","#13 (.185) 135DEG DRILL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","1000","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-2470",""
"D-236","D","236","0.2344","3.228","1.378","J","","Haas","false","","","","","","","TIALN","","67.45","5/26/2026; 03:31:36 PM","","","","",".2344Ø  (15/64) Drill 5XD 140DEG TSC","","","","","","","","false","","","30","","","","","","","","","","false","","","","1.9","","222","","","","","","","2","table 2 items","","","Split Point","4","","Steel","","","","","0.236","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-0885",""
"A-237","A","237","0.5","3.5","1.25","","","Haas Automation","false","0.5","","","true","","","Hybrid AlCrN","0.12","45.85","5/27/2026; 09:56:36 AM","","","","Right Hand","1/2 (.5) BULL R.12 4FL 1.25LOC","","","","","","","Finishing","false","","","38","","","","","","","","","","false","","","","1.49","","223","","","","","","","4","table 2 items","","","","6","","M, S, P, K","","true","","","0.5","","","","Active","","","","","","","false","","","","","carbide","","","","","HAA1","03-0551",""
"D-238","D","238","0.106","2.063","0.88","S","","Haas","false","","","","","","","","","12.97","5/27/2026; 03:11:42 PM","","","","",".106Ø #36 drill 135deg 2fl Cobalt drill index","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","10000","","","","","","","2","table 2 items","","","Split Point","","","Al","","","","","","","","","Active","","","","","","","false","","","","","COBALT","","","","","HAA1","03-2378",""
"N-239","N","239","0.098","","0.330","","","Scientific Cutting tools","false","","","","","","","NONE","","60.20","5/27/2026; 03:55:16 PM","","","","",".098Ø #6 Threadmill .330 reach 32 to 64 TPI","","","","","","","","false","","","","","","","","","","","","","false","","","","","","224","","","","","","","3","table 2 items","","","","2","","","","","","","0.1875","","","","Active","","","","","32-64","","false","","","","","CARB","","","","","MSC1","44063816",""
"N-239","N","","","","","","","","false","","","","","","","NONE","","","5/27/2026; 03:55:16 PM","","","","",".098Ø #6 Threadmill .330 reach 32 to 64 TPI","","","","","","","","false","","","","","","","","","","","","","false","","","","","","224","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","32-64","","false","","","","","CARB","","","","","","SPTM098ML",""
"D-240","D","240","0.1495","","1.757","J","","Haas","false","","","","","","","","","20.97","5/27/2026; 05:22:10 PM","","","","",".1495Ø #25 Drill INdex","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","2","table 2 items","","","Split Point","","","","","","","","","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0308",""
"D-241","D","241","0.2598","3.5826","1.6929","J","","Haas","false","","","","","","","TIALN","","59.95","6/4/2026; 04:58:29 PM","","","","",".2598Ø 6.7mm Ø drill  140deg TSC","","","","","","","","false","","","26","","","","","","","","","","false","","","","","","225","","","","","","","2","table 2 items","","","Split Point","2","","P M N S","","","","","0.3149","","","","Active","","","","","","","true","140","","","","CARB","","","","","HAA1","03-1420",""
"A-242","A","242","0.5","4.0","2.0","","","Haas Automation","false","0.5","","","true","","","Hybrid AlCrN","0.03","72.17","6/5/2026; 09:39:06 AM","","","","Right Hand","1/2 (.5) BULL R.03 6FL 2LOC P","","","","","","","Roughing","false","","","45","","","","","","","","","","false","","","","","","226","","","","","","","6","table 2 items","","","","3","","P, M, K, S","","true","","","0.5","","","","Active","","","","","","","false","","","","","carbide","","","","","HAA1","03-2144",""
"A-243","A","243","0.1875","2.0000","0.5620","","","Harvey Tool","false","0.1875","","","true","","","AlTiN Nano","0","","6/5/2026; 10:03:36 AM","","","","Right Hand","3/16 (.1875) 5FL EM .562LOC","","","","","","","Finishing","false","","","34","","","","","","","","","","false","","","","","","227","","","","","","","5","table 2 items","","","","4","","M, K, P, S","","true","","","0.1875","","","","Active","","","","","","","false","","","","","carbide","","","","","","747312-C6",""
"A-243","A","","","","","","","Harvey Tool","false","","","","true","","","AlTiN Nano","","","6/5/2026; 10:03:36 AM","","","","Right Hand","3/16 (.1875) 5FL EM .562LOC","","","","","","","Finishing","false","","","","","","","","","","","","","false","","","","","","227","","","","","","","","table 2 items","","","","","","M, K, P, S","","true","","","","","","","Active","","","","","","","false","","","","","carbide","","","","","MSC1","82846577",""
"A-244","A","244","0.0470","2.5000","0.0710","","","Harvey Tool","false","0.2500","","","true","","","C6","0","97.00","6/9/2026; 11:07:05 AM","","","","Right Hand","3/64 (.047) 5FL EM .071LOC P C6","","","","","","","Finishing","false","","","","","","","","","","","","","false","","","","","","228","","","","","","","5","table 2 items","","","","","","P, K, M, S","","true","","","0.2500","","","","Active","","","","","","","false","","","","","carbide","","","","","BUT1","907447-C6",""
"B-245","B","245","0.5","3.5","1.25","","","Haas Automation","false","0.5","","","true","","","Hybrid AlCrN","0.25","52.15","6/9/2026; 11:21:53 AM","","","","Right Hand","1/2 (.5) BALL 4FL 1.25LOC P","","","","","","","Finishing","false","","","35/37","","","","","","","","","","false","","","","","","229","","","","","","","4","table 2 items","","","","","","P, M, K, S","","true","","","0.5","","","","","","","","","","","false","","","","","carbide","","","","","HAA1","03-0486",""
"TOTALS","","","","","","","","","","7.79","0.00","0.00","","","","","","13982.79","","","","","","","NaN","","","","","0.00","","","0.13","","","","","","","","0.19","0.00","","","","","","","","0.00","","","0.00","8.28","2.31","","7.00","","","","","","503.00","","","","","NaN","","","","","0.00","","","","","0.00","","","","","","","","","0.00","0.00","","","","",""
